ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0070372	GO:0070372	regulation of ERK1 and ERK2 cascade	26/720	311/18371	0.000245606411254855	0.00545868897126988	0.00466451909292023	Tnfrsf11a/Esr1/Havcr2/Ccl6/Gcnt2/Syk/Prxl2c/Ptk2b/Gpr183/Dab2/Card9/Notch1/Il1a/Sirpa/Rapgef2/Npnt/Lyn/Epha7/Gpnmb/Ptpn6/C5ar2/Vrk3/Gas6/Mfhas1/Nod2/Ccr1	26
GO:0002287	GO:0002287	alpha-beta T cell activation involved in immune response	10/720	67/18371	0.000263983514337631	0.00583971007885208	0.00499010647122241	Ly9/Slamf6/Hlx/Nlrp3/Gpr183/Bcl6/Zfp35/Entpd7/Il2/Cracr2a	10
GO:0045089	GO:0045089	positive regulation of innate immune response	15/720	135/18371	0.000267801088876815	0.00588480584749994	0.00502864137859211	Sh2d1b1/Slamf6/Aim2/Havcr2/Syk/Riok3/Card9/Spi1/Klri1/Tyrobp/Adam8/Irf7/Lamp1/Nod2/Mmp12	15
GO:0043547	GO:0043547	positive regulation of GTPase activity	22/720	245/18371	0.000269658476572117	0.00588480584749994	0.00502864137859211	Dock10/Abr/Ccl6/Sema4d/Ptk2b/Tbc1d22a/Tiam1/Dock8/Adrb1/Pkp4/Itga6/Rapgef2/Bcar3/Rap1gds1/Arap2/Chn2/Arhgap25/Iqsec1/Arap1/Arhgef7/Adprhl1/Sipa1l2	22
GO:0097530	GO:0097530	granulocyte migration	16/720	150/18371	0.000271386873227523	0.00588480584749994	0.00502864137859211	Sell/Fcgr3/Fcer1g/Itgb2/Ccl6/Edn1/Syk/Lgals3/Nckap1l/Il1a/Sirpa/Rhoh/C3ar1/C5ar2/Adam8/Nod2	16
GO:0030279	GO:0030279	negative regulation of ossification	8/720	44/18371	0.00027144708931735	0.00588480584749994	0.00502864137859211	Bcl2/Enpp1/Srgn/Mef2c/Ptk2b/Notch1/Mepe/Ccr1	8
GO:0007229	GO:0007229	integrin-mediated signaling pathway	12/720	93/18371	0.000272237532869135	0.00588480584749994	0.00502864137859211	Fcer1g/Itgb2/Syk/Ptk2b/Dab2/Fyb/Fermt3/Itga6/Tec/Pxn/Tyrobp/Itgax	12
GO:0002260	GO:0002260	lymphocyte homeostasis	11/720	80/18371	0.000276911586725208	0.00589642369998042	0.00503856898117198	Dock10/Bcl2/Enpp1/Mef2c/Ppp3cb/Nckap1l/Tcirg1/Il2/Lyn/Pirb/Bcl2a1a	11
GO:0002468	GO:0002468	dendritic cell antigen processing and presentation	5/720	16/18371	0.000277757178938663	0.00589642369998042	0.00503856898117198	Fgl2/Clec4a1/Clec4a3/Clec4a2/Nod2	5
GO:0034162	GO:0034162	toll-like receptor 9 signaling pathway	5/720	16/18371	0.000277757178938663	0.00589642369998042	0.00503856898117198	Rab7b/Havcr2/Cd300ld3/Treml4/Pik3ap1	5
GO:0071801	GO:0071801	regulation of podosome assembly	5/720	16/18371	0.000277757178938663	0.00589642369998042	0.00503856898117198	Arpc2/Mapk8/Lcp1/Hck/Arhgef2	5
GO:1902106	GO:1902106	negative regulation of leukocyte differentiation	13/720	107/18371	0.000281476896774722	0.00594349054640558	0.00507878819955009	Inpp5d/Hlx/Lilrb4a/Lilrb4a/Gpr137b/Pik3r1/Bcl6/Runx1/Zfp35/Il2/Lyn/Fgl2/Ubash3b	13
GO:0002706	GO:0002706	regulation of lymphocyte mediated immunity	19/720	197/18371	0.000282485292129543	0.00594349054640558	0.00507878819955009	Cd28/Sh2d1b1/Fcgr3/Fcer1g/Slamf6/Lilrb4a/Lilrb4a/Havcr2/Nlrp3/Ppp3cb/Il7r/Cyrib/Nckap1l/Bcl6/Il2/Ptpn6/Klri1/Lamp1/Nod2	19
GO:0018212	GO:0018212	peptidyl-tyrosine modification	26/720	314/18371	0.00028529769722248	0.00597610309137708	0.00510665603365622	Sh2d1b1/Lilrb4a/Lilrb4a/Itgb2/Osm/Aatk/Sema4d/Syk/Ptk2b/Samsn1/Fer/Osbp/Hck/Il2/Arhgef2/Lyn/Epha7/Tec/Epgn/Pxn/Ptpn6/Gas6/Il15/Nod2/Aplp2/Cbl	26
GO:0045920	GO:0045920	negative regulation of exocytosis	7/720	34/18371	0.000294137116985301	0.00613411943527936	0.00524168300753309	Cd84/Abr/Nckap1l/Prkn/Notch1/Spi1/Stxbp3	7
GO:0071677	GO:0071677	positive regulation of mononuclear cell migration	10/720	68/18371	0.000298806724214748	0.00620417119487991	0.00530154312630322	Lgals3/Ptk2b/Pla2g7/Tnfsf14/Dock8/Spi1/Adam8/Gas6/Adam10/Ccr1	10
GO:0043030	GO:0043030	regulation of macrophage activation	9/720	56/18371	0.000301413114626743	0.00623095932158516	0.00532443392098632	Cd84/Havcr2/Myo18a/Gpr137b/Tlr6/Ctsc/Mfhas1/Slc7a2/Mmp8	9
GO:0002687	GO:0002687	positive regulation of leukocyte migration	16/720	152/18371	0.000315599896471514	0.00649586917346151	0.00555080275578961	Sell/Edn1/Lgals3/Ptk2b/Nckap1l/Pla2g7/Tnfsf14/Dock8/Spi1/Il1a/C3ar1/Adam8/F7/Gas6/Adam10/Ccr1	16
GO:0010829	GO:0010829	negative regulation of glucose transmembrane transport	6/720	25/18371	0.000331759621800583	0.00676961228277569	0.00578471972132324	Lmbrd1/Pid1/Esr1/Enpp1/Stxbp3/Prkcb	6
GO:1903306	GO:1903306	negative regulation of regulated secretory pathway	6/720	25/18371	0.000331759621800583	0.00676961228277569	0.00578471972132324	Cd84/Abr/Nckap1l/Notch1/Spi1/Stxbp3	6
GO:1903707	GO:1903707	negative regulation of hemopoiesis	13/720	109/18371	0.000338251058878359	0.00684148896012502	0.00584613925550007	Inpp5d/Hlx/Lilrb4a/Lilrb4a/Gpr137b/Pik3r1/Bcl6/Runx1/Zfp35/Il2/Lyn/Fgl2/Ubash3b	13
GO:0042098	GO:0042098	T cell proliferation	20/720	216/18371	0.000338620297541457	0.00684148896012502	0.00584613925550007	Cd28/Lilrb4a/Lilrb4a/Itgb2/Dock2/Havcr2/Syk/Lgals3/Nckap1l/Cd86/Rasal3/Tnfrsf21/Dock8/Il1a/Il2/Laptm5/Gpnmb/Ptpn6/Tarm1/Il15	20
GO:0032946	GO:0032946	positive regulation of mononuclear cell proliferation	15/720	138/18371	0.000340369331409075	0.00684148896012502	0.00584613925550007	Cd28/Bcl2/Havcr2/Syk/Mef2c/Gpr183/Nckap1l/St6gal1/Bcl6/Cd86/Rasal3/Il1a/Il2/Cd38/Il15	15
GO:0001894	GO:0001894	tissue homeostasis	23/720	266/18371	0.000341062820994826	0.00684148896012502	0.00584613925550007	Rp1/Inpp5d/Tnfrsf11a/Bcl2/Enpp1/Cdh23/Poc1b/Bbs10/Gpr137b/Gcnt2/Syk/Lpcat1/Ptk2b/Ildr1/Tcirg1/Lipa/Notch1/Crocc/Cd38/Strap/Adam8/Nod2/Ubash3b	23
GO:0032633	GO:0032633	interleukin-4 production	7/720	35/18371	0.000355368753278576	0.00706855326899487	0.00604016859287735	Cd28/Fcer1g/Havcr2/Nlrp3/Cd83/Syk/Notch1	7
GO:0032692	GO:0032692	negative regulation of interleukin-1 production	7/720	35/18371	0.000355368753278576	0.00706855326899487	0.00604016859287735	Lilrb4a/Lilrb4a/Nlrp3/Serpinb1b/Mefv/Cd33/Gas6	7
GO:0002690	GO:0002690	positive regulation of leukocyte chemotaxis	12/720	96/18371	0.000366891688251491	0.00726721862837891	0.00620993066703581	Sell/Edn1/Ptk2b/Nckap1l/Pla2g7/Tnfsf14/Spi1/C3ar1/F7/Gas6/Adam10/Ccr1	12
GO:0002673	GO:0002673	regulation of acute inflammatory response	8/720	46/18371	0.000373003185048606	0.00735748782508376	0.00628706684272717	Tnfrsf11a/Fcgr3/Fcer1g/Nlrp3/Pik3cg/F12/Alox5ap/Adam8	8
GO:0070167	GO:0070167	regulation of biomineral tissue development	12/720	97/18371	0.000404059918761398	0.00785801794526028	0.00671477619096686	Enpp1/Srgn/Atp2b1/Mef2c/Ptk2b/Slc8a1/Notch1/Mepe/Fam20c/Gas6/Smad3/Ccr1	12
GO:0002317	GO:0002317	plasma cell differentiation	4/720	10/18371	0.000406678157285333	0.00785801794526028	0.00671477619096686	Enpp1/Lilrb4a/Lilrb4a/Il2	4
GO:0010692	GO:0010692	regulation of alkaline phosphatase activity	4/720	10/18371	0.000406678157285333	0.00785801794526028	0.00671477619096686	Sema4d/Mef2c/Npnt/Smad3	4
GO:0042117	GO:0042117	monocyte activation	4/720	10/18371	0.000406678157285333	0.00785801794526028	0.00671477619096686	Lilrb4a/Lilrb4a/Cd33/Adam10	4
GO:0043313	GO:0043313	regulation of neutrophil degranulation	4/720	10/18371	0.000406678157285333	0.00785801794526028	0.00671477619096686	Itgb2/Abr/Syk/Spi1	4
GO:0002675	GO:0002675	positive regulation of acute inflammatory response	6/720	26/18371	0.000417110400104404	0.00802683184591158	0.00685902981429707	Tnfrsf11a/Fcgr3/Fcer1g/Pik3cg/Alox5ap/Adam8	6
GO:0032689	GO:0032689	negative regulation of interferon-gamma production	7/720	36/18371	0.000426395374028174	0.00817229028602987	0.00698332589980939	Sh2d1b1/Lilrb4a/Lilrb4a/Havcr2/Laptm5/Gas6/Nod2	7
GO:0032609	GO:0032609	interferon-gamma production	14/720	127/18371	0.000459955040205544	0.00877994822714939	0.00750257733238501	Sh2d1b1/Slamf6/Enpp1/Lilrb4a/Lilrb4a/Havcr2/Cyrib/Runx1/Cd14/Tcirg1/Il2/Laptm5/Gas6/Nod2	14
GO:0045055	GO:0045055	regulated exocytosis	22/720	255/18371	0.000469010972527356	0.00888119177577802	0.00758909123125318	Rims1/Syt2/Fcer1g/Cd84/Itgb2/Abr/Unc13d/Tmed10/Syk/Ppp3cb/Myh9/Nckap1l/Myo1f/Fer/Notch1/Spi1/Stxbp3/Lyn/Prkcb/Lamp1/Nr3c2/Rab27a	22
GO:0050730	GO:0050730	regulation of peptidyl-tyrosine phosphorylation	22/720	255/18371	0.000469010972527356	0.00888119177577802	0.00758909123125318	Sh2d1b1/Lilrb4a/Lilrb4a/Itgb2/Osm/Sema4d/Syk/Ptk2b/Samsn1/Osbp/Il2/Arhgef2/Lyn/Epha7/Tec/Epgn/Ptpn6/Gas6/Il15/Nod2/Aplp2/Cbl	22
GO:0030593	GO:0030593	neutrophil chemotaxis	12/720	99/18371	0.000487992459820329	0.00916728692376761	0.00783356317080002	Sell/Fcgr3/Fcer1g/Itgb2/Ccl6/Edn1/Syk/Lgals3/Nckap1l/C3ar1/C5ar2/Nod2	12
GO:0110149	GO:0110149	regulation of biomineralization	12/720	99/18371	0.000487992459820329	0.00916728692376761	0.00783356317080002	Enpp1/Srgn/Atp2b1/Mef2c/Ptk2b/Slc8a1/Notch1/Mepe/Fam20c/Gas6/Smad3/Ccr1	12
GO:0002446	GO:0002446	neutrophil mediated immunity	7/720	37/18371	0.000508312872420282	0.00949908225261779	0.00811708649563297	Itgb2/Abr/Lyst/Syk/Myo1f/Card9/Spi1	7
GO:0043374	GO:0043374	CD8-positive, alpha-beta T cell differentiation	5/720	18/18371	0.000510426330320942	0.00949908225261779	0.00811708649563297	Bcl2/Lilrb4a/Lilrb4a/Nckap1l/Runx1	5
GO:0002534	GO:0002534	cytokine production involved in inflammatory response	9/720	60/18371	0.00051167426582542	0.00949908225261779	0.00811708649563297	Lilrb4a/Lilrb4a/Mefv/Card9/Sirpa/Rap1gds1/Tlr6/Tarm1/Nod2	9
GO:0032102	GO:0032102	negative regulation of response to external stimulus	29/720	381/18371	0.000531284330800201	0.00982460946096934	0.00839525363184692	Serpine2/Sh2d1b1/Havcr2/Nlrp3/Abr/Rin3/Aoah/Sema4d/F12/Mefv/St6gal1/Cd200r1/Riok3/Notch1/Il2/Tnfaip8l2/Cers2/Smpdl3b/Padi2/Fgl2/C5ar2/Mfhas1/Nod2/Mmp12/Ets1/Ubash3b/Smad3/Nt5e/Ccr1	29
GO:0045581	GO:0045581	negative regulation of T cell differentiation	8/720	49/18371	0.00058138228310057	0.0106676888689849	0.00911567569953281	Hlx/Lilrb4a/Lilrb4a/Bcl6/Runx1/Zfp35/Il2/Fgl2	8
GO:0046633	GO:0046633	alpha-beta T cell proliferation	8/720	49/18371	0.00058138228310057	0.0106676888689849	0.00911567569953281	Cd28/Lilrb4a/Lilrb4a/Dock2/Syk/Rasal3/Tarm1/Il15	8
GO:0045453	GO:0045453	bone resorption	10/720	74/18371	0.000598074521574054	0.0109316014869945	0.00934119238532449	Inpp5d/Tnfrsf11a/Enpp1/Gpr137b/Syk/Ptk2b/Tcirg1/Cd38/Adam8/Ubash3b	10
GO:0072538	GO:0072538	T-helper 17 type immune response	7/720	38/18371	0.000602283047433021	0.0109661844097997	0.00937074393232834	Ly9/Slamf6/Nlrp3/Entpd7/Card9/Notch1/Il2	7
GO:0051056	GO:0051056	regulation of small GTPase mediated signal transduction	20/720	226/18371	0.000606010608106193	0.0109917786159951	0.00939261450676386	Dock2/Pik3cg/Arhgef28/Erbin/Cyrib/Cyth4/Bcl6/Rasal3/Arhgap26/Arhgap19/Psd4/Notch1/Arhgef2/Abca1/Arhgap25/Iqsec1/Akap13/Mcf2l/Sipa1l2/Cbl	20
GO:0002664	GO:0002664	regulation of T cell tolerance induction	4/720	11/18371	0.000619293386978181	0.0111898278395218	0.00956185008500261	Lilrb4a/Lilrb4a/Cd86/Runx1	4
GO:0032691	GO:0032691	negative regulation of interleukin-1 beta production	6/720	28/18371	0.000638459828106215	0.0114922769059119	0.00982029665564213	Lilrb4a/Lilrb4a/Nlrp3/Serpinb1b/Mefv/Cd33	6
GO:0002822	GO:0002822	regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	18/720	194/18371	0.000642572874969978	0.0115224999625298	0.00984612264158542	Cd28/Fcgr3/Fcer1g/Hlx/Lilrb4a/Lilrb4a/Havcr2/Nlrp3/Mef2c/Ppp3cb/Il7r/Cyrib/Nckap1l/Bcl6/Card9/Il2/Ptpn6/Nod2	18
GO:0042129	GO:0042129	regulation of T cell proliferation	17/720	178/18371	0.000648330960111767	0.0115818821327136	0.00989686546061379	Cd28/Lilrb4a/Lilrb4a/Havcr2/Syk/Lgals3/Nckap1l/Cd86/Rasal3/Tnfrsf21/Il1a/Il2/Laptm5/Gpnmb/Ptpn6/Tarm1/Il15	17
GO:1901224	GO:1901224	positive regulation of NIK/NF-kappaB signaling	9/720	62/18371	0.000654979929257985	0.0116566728763432	0.00996077510145801	Havcr2/Edn1/Cd86/Tnfsf14/Cd14/Laptm5/Nr3c2/Nod2/Mmp8	9
GO:2000379	GO:2000379	positive regulation of reactive oxygen species metabolic process	10/720	75/18371	0.000666310723979577	0.0118002638768244	0.0100834754360697	Pid1/Itgb2/Syk/Ptk2b/Fpr2/Tlr6/Tyrobp/Cyba/Mmp8/Rab27a	10
GO:0002643	GO:0002643	regulation of tolerance induction	5/720	19/18371	0.000670526189874475	0.0118002638768244	0.0100834754360697	Lilrb4a/Lilrb4a/Havcr2/Cd86/Runx1	5
GO:0030502	GO:0030502	negative regulation of bone mineralization	5/720	19/18371	0.000670526189874475	0.0118002638768244	0.0100834754360697	Enpp1/Srgn/Ptk2b/Mepe/Ccr1	5
GO:0045927	GO:0045927	positive regulation of growth	24/720	297/18371	0.000681582718841277	0.0119504170036837	0.0102117831910605	Rims1/Bcl2/Syt2/Hlx/Agr2/Tshr/Edn1/Sema4d/Mef2c/Ptk2b/Dscam/Cep43/Prkn/Rftn1/Gata6/Nedd4l/Adrb1/Notch1/Slc23a2/Chd7/Tgfbr1/Cd38/Cyba/Adam10	24
GO:0030168	GO:0030168	platelet activation	11/720	89/18371	0.000702196532996605	0.012266414712937	0.0104818072491977	Serpine2/Fcer1g/Syk/Emilin2/Fermt3/Stxbp3/Lyn/Tec/Ptpn6/Bloc1s3/Ubash3b	11
GO:0043122	GO:0043122	regulation of I-kappaB kinase/NF-kappaB signaling	17/720	180/18371	0.000735874588784791	0.0127981373554921	0.0109361710041927	Esr1/Lilrb4a/Lilrb4a/Ube2n/Prkn/Riok3/Btrc/Card9/Il1a/Alpk1/Tlr6/Rhoh/Clec4d/Akap13/Prkcb/Nod2/Casp1	17
GO:0006801	GO:0006801	superoxide metabolic process	9/720	63/18371	0.000738042141539784	0.0127981373554921	0.0109361710041927	Ncf2/Itgb2/Edn1/Syk/Gch1/Ncf4/Fpr2/Tyrobp/Cyba	9
GO:0046635	GO:0046635	positive regulation of alpha-beta T cell activation	10/720	76/18371	0.000740842778645244	0.0127998164748416	0.0109376058330145	Cd28/Hlx/Lilrb4a/Lilrb4a/Nlrp3/Cd83/Syk/Nckap1l/Runx1/Rasal3	10
GO:0097191	GO:0097191	extrinsic apoptotic signaling pathway	20/720	230/18371	0.00075569494316859	0.0130089449489458	0.0111163087716627	Sgk3/Sp100/Bcl2/Tnfsf12/Pik3r1/Lgals3/Dab2/Trps1/Sgms1/Itga6/Spi1/Il1a/Siglec1/Il2/Tgfbr1/Mknk1/Ddx47/Smad3/Bcl2a1a/Bcl2a1b	20
GO:0043370	GO:0043370	regulation of CD4-positive, alpha-beta T cell differentiation	8/720	51/18371	0.000766312448548309	0.0131439243892308	0.0112316504186543	Hlx/Nlrp3/Cd83/Nckap1l/Bcl6/Runx1/Zfp35/Il2	8
GO:1901222	GO:1901222	regulation of NIK/NF-kappaB signaling	11/720	90/18371	0.000772237223611593	0.013197729301723	0.0112776274001115	Havcr2/Nlrp3/Edn1/Cd86/Tnfsf14/Cd14/Spi1/Laptm5/Nr3c2/Nod2/Mmp8	11
GO:0032673	GO:0032673	regulation of interleukin-4 production	6/720	29/18371	0.000778614516210814	0.0132113301782867	0.01128924952197	Cd28/Fcer1g/Havcr2/Nlrp3/Cd83/Syk	6
GO:0034123	GO:0034123	positive regulation of toll-like receptor signaling pathway	6/720	29/18371	0.000778614516210814	0.0132113301782867	0.01128924952197	Cd300ld3/Ninj1/Treml4/Pik3ap1/Mfhas1/Cyba	6
GO:0006665	GO:0006665	sphingolipid metabolic process	14/720	134/18371	0.000789696593611503	0.0133515131219888	0.0114090376287557	Degs1/Smpdl3a/Psap/Hacd2/B3galt4/B4galt6/Osbp/Sgms1/B4galt5/Cers2/Smpdl3b/Acer3/Asah1/Elovl5	14
GO:0051092	GO:0051092	positive regulation of NF-kappaB transcription factor activity	15/720	150/18371	0.000824113175877	0.0138838141444901	0.0118638956167646	Tnfrsf11a/Rab7b/Cd84/Aim2/Itgb2/Ube2n/Nlrp3/Prkch/Fer/Card9/Arhgef2/Tlr6/Prkcb/Adam8/Nod2	15
GO:0030148	GO:0030148	sphingolipid biosynthetic process	11/720	91/18371	0.000847977029553413	0.0142045319569958	0.0121379530631122	Degs1/Hacd2/B3galt4/B4galt6/Osbp/Sgms1/B4galt5/Cers2/Acer3/Asah1/Elovl5	11
GO:0051090	GO:0051090	regulation of DNA-binding transcription factor activity	30/720	411/18371	0.000849151361180777	0.0142045319569958	0.0121379530631122	Sp100/Tnfrsf11a/Rab7b/Cd84/Aim2/Esr1/Enpp1/Itgb2/Ube2n/Havcr2/Nlrp3/Prkch/Edn1/Syk/Ptch1/Erbin/Nfam1/Fer/Tcf7l2/Card9/Spi1/Hck/Arhgef2/Tlr6/Lpar5/Prkcb/Adam8/Gas6/Nod2/Wwp2	30
GO:0034349	GO:0034349	glial cell apoptotic process	5/720	20/18371	0.000865418456788044	0.0144256724451923	0.0123269204204465	Enpp1/Prkch/Mapk8/Tnfrsf21/Gas6	5
GO:0043507	GO:0043507	positive regulation of JUN kinase activity	8/720	52/18371	0.000875043253028752	0.0144336402781816	0.0123337290349881	Tnfrsf11a/Edn1/Syk/Ptk2b/Fgd4/Map3k4/Il1rn/Tlr6	8
GO:0046638	GO:0046638	positive regulation of alpha-beta T cell differentiation	8/720	52/18371	0.000875043253028752	0.0144336402781816	0.0123337290349881	Hlx/Lilrb4a/Lilrb4a/Nlrp3/Cd83/Syk/Nckap1l/Runx1	8
GO:0070527	GO:0070527	platelet aggregation	8/720	52/18371	0.000875043253028752	0.0144336402781816	0.0123337290349881	Serpine2/Syk/Emilin2/Fermt3/Stxbp3/Lyn/Ptpn6/Ubash3b	8
GO:0043254	GO:0043254	regulation of protein-containing complex assembly	30/720	412/18371	0.000882708406319567	0.0144639960143822	0.0123596683973208	Rims1/Arpc2/Lefty1/Esr1/Bbs10/Ssh2/Syk/Mapk8/Lgals3/Ptk2b/Lcp1/Dnajc15/Cyrib/Nckap1l/Mefv/Fer/Riok3/Hck/Fnip2/Arhgef2/Abca1/Tlr6/Baiap2l1/Ica1/Capza2/Lcmt1/Arhgef7/Zfp827/Cotl1/Tmod3	30
GO:0045637	GO:0045637	regulation of myeloid cell differentiation	19/720	216/18371	0.000882994264502843	0.0144639960143822	0.0123596683973208	Inpp5d/Rab7b/Lilrb4a/Lilrb4a/Gpr137b/Ninj1/Mef2c/Pik3r1/Ptk2b/Nckap1l/Runx1/Spi1/Lmo2/Lyn/Tyrobp/Adam8/Ets1/Ubash3b/Ccr1	19
GO:0043301	GO:0043301	negative regulation of leukocyte degranulation	4/720	12/18371	0.00090023847303283	0.0146956170046118	0.0125575914768246	Cd84/Abr/Nckap1l/Spi1	4
GO:0050671	GO:0050671	positive regulation of lymphocyte proliferation	14/720	136/18371	0.000914313352313621	0.0148740873190814	0.0127100966284726	Cd28/Bcl2/Havcr2/Syk/Mef2c/Gpr183/Nckap1l/Bcl6/Cd86/Rasal3/Il1a/Il2/Cd38/Il15	14
GO:0032816	GO:0032816	positive regulation of natural killer cell activation	6/720	30/18371	0.000941375661885872	0.0152618917238621	0.0130414804204304	Lyst/Bloc1s3/Tyrobp/Lamp1/Gas6/Il15	6
GO:0070374	GO:0070374	positive regulation of ERK1 and ERK2 cascade	19/720	218/18371	0.000985864013225108	0.0159286014969545	0.0136111923938354	Tnfrsf11a/Esr1/Havcr2/Ccl6/Gcnt2/Prxl2c/Ptk2b/Gpr183/Card9/Notch1/Il1a/Rapgef2/Npnt/Gpnmb/C5ar2/Gas6/Mfhas1/Nod2/Ccr1	19
GO:0048247	GO:0048247	lymphocyte chemotaxis	8/720	53/18371	0.000995804345365586	0.016034482214152	0.0137016688121731	Ccl6/Ptk2b/Gpr183/Tnfsf14/Padi2/Adam8/Gas6/Adam10	8
GO:0030500	GO:0030500	regulation of bone mineralization	10/720	79/18371	0.00100665533490313	0.0161542588319709	0.0138040194541756	Enpp1/Srgn/Atp2b1/Mef2c/Ptk2b/Slc8a1/Mepe/Fam20c/Smad3/Ccr1	10
GO:0051648	GO:0051648	vesicle localization	17/720	186/18371	0.0010616469358229	0.0169791776830595	0.0145089230951899	Kif1a/Pik3cg/Tmed10/Mapk8/Tbc1d23/Prkn/Myo1f/Tcirg1/Tcf7l2/Spg11/Tmem230/Atp13a2/Exoc4/Bloc1s3/Wdr11/Rab27a/Pdcd6ip	17
GO:0043406	GO:0043406	positive regulation of MAP kinase activity	13/720	123/18371	0.00107809082357134	0.0171841143393493	0.0146840440722476	Tnfrsf11a/Pik3cg/Edn1/Syk/Ptk2b/Fgd4/Map3k4/Il1rn/Tlr6/Epgn/Akap13/Adam8/Nod2	13
GO:0046325	GO:0046325	negative regulation of glucose import	5/720	21/18371	0.00109954193911106	0.0174672199320529	0.0149259613988125	Lmbrd1/Pid1/Esr1/Enpp1/Stxbp3	5
GO:0030890	GO:0030890	positive regulation of B cell proliferation	7/720	42/18371	0.00112417530316648	0.0177988156695321	0.0152093141702826	Bcl2/Mef2c/Gpr183/Nckap1l/Bcl6/Il2/Cd38	7
GO:2000515	GO:2000515	negative regulation of CD4-positive, alpha-beta T cell activation	6/720	31/18371	0.00112908564813401	0.0178169715275547	0.0152248285816807	Hlx/Bcl6/Runx1/Zfp35/Il2/Tarm1	6
GO:0055074	GO:0055074	calcium ion homeostasis	34/720	495/18371	0.00114264519432815	0.0179710377074732	0.0153564800902363	Bcl2/Esr1/Enpp1/Cdh23/Atp2b1/Pik3cg/Edn1/Ptger2/Ptk2b/Atp13a4/Fpr2/Slc8a1/Tcirg1/Adrb1/Slc24a3/Il2/Mcub/Rap1gds1/Lyn/Chd7/Atp13a2/Cd38/Kel/C3ar1/Ptpn6/C5ar2/Prkcb/Cyba/Ubash3b/Cxcr5/Smad3/Nt5e/Atp2c1/Ccr1	34
GO:0031341	GO:0031341	regulation of cell killing	13/720	124/18371	0.00116222133056636	0.018218396618878	0.0155678514233759	Sh2d1b1/Slamf6/Havcr2/Syk/Ppp3cb/Il7r/Cyrib/Nckap1l/Spi1/Cd5l/Klri1/Tyrobp/Lamp1	13
GO:0045088	GO:0045088	regulation of innate immune response	19/720	222/18371	0.00122266537871162	0.0190575990775956	0.0162849605886198	Sh2d1b1/Slamf6/Aim2/Havcr2/Syk/Myo1f/Riok3/Card9/Spi1/Smpdl3b/Klri1/Tyrobp/Adam8/Irf7/Lamp1/N4bp1/Nod2/Mmp12/Ccr1	19
GO:0045670	GO:0045670	regulation of osteoclast differentiation	10/720	81/18371	0.00122380864376617	0.0190575990775956	0.0162849605886198	Inpp5d/Lilrb4a/Lilrb4a/Gpr137b/Ninj1/Pik3r1/Tyrobp/Adam8/Ubash3b/Ccr1	10
GO:0019882	GO:0019882	antigen processing and presentation	12/720	110/18371	0.00125687813379913	0.0193071026574824	0.0164981645682309	Fcgr3/Fcer1g/Psap/Wdfy4/Treml4/Rftn1/Fgl2/Clec4a1/Clec4a3/Clec4a2/Nod2/Rab27a	12
GO:0002517	GO:0002517	T cell tolerance induction	4/720	13/18371	0.00126022279703466	0.0193071026574824	0.0164981645682309	Lilrb4a/Lilrb4a/Cd86/Runx1	4
GO:0045628	GO:0045628	regulation of T-helper 2 cell differentiation	4/720	13/18371	0.00126022279703466	0.0193071026574824	0.0164981645682309	Hlx/Nlrp3/Bcl6/Zfp35	4
GO:1900426	GO:1900426	positive regulation of defense response to bacterium	4/720	13/18371	0.00126022279703466	0.0193071026574824	0.0164981645682309	Havcr2/Emilin2/Nod2/Cyba	4
GO:1902563	GO:1902563	regulation of neutrophil activation	4/720	13/18371	0.00126022279703466	0.0193071026574824	0.0164981645682309	Itgb2/Abr/Syk/Spi1	4
GO:0001961	GO:0001961	positive regulation of cytokine-mediated signaling pathway	8/720	55/18371	0.00127720842576814	0.019379181690982	0.0165597570183096	Cd300lf/Edn1/Prkn/Laptm5/Irf7/Gas6/Casp1/Mmp12	8
GO:0002762	GO:0002762	negative regulation of myeloid leukocyte differentiation	8/720	55/18371	0.00127720842576814	0.019379181690982	0.0165597570183096	Inpp5d/Lilrb4a/Lilrb4a/Gpr137b/Pik3r1/Runx1/Lyn/Ubash3b	8
GO:1900015	GO:1900015	regulation of cytokine production involved in inflammatory response	8/720	55/18371	0.00127720842576814	0.019379181690982	0.0165597570183096	Lilrb4a/Lilrb4a/Mefv/Card9/Sirpa/Tlr6/Tarm1/Nod2	8
GO:2000514	GO:2000514	regulation of CD4-positive, alpha-beta T cell activation	9/720	68/18371	0.00129191363339097	0.0195199257075136	0.016680024568958	Hlx/Nlrp3/Cd83/Nckap1l/Bcl6/Runx1/Zfp35/Il2/Tarm1	9
GO:0031589	GO:0031589	cell-substrate adhesion	27/720	366/18371	0.00129473102495971	0.0195199257075136	0.016680024568958	Arpc2/Bcl2/Itgb2/Unc13d/Agr2/Gcnt2/Ninj1/Pik3r1/Ptk2b/Dab2/St6gal1/Bcl6/Tiam1/Fer/Fermt3/Notch1/Itga6/Sirpa/Rin2/Npnt/Pxn/Itgax/Adam8/Gas6/Plekha2/Mmp12/Smad3	27
